index	value
935	17225
936	17474
937	17211
938	17214
939	17492
940	17489
941	17489
942	17489
943	17198
944	17211
945	17225
946	17225
947	17226
948	17489
949	17489
950	17492
951	17754
952	17488
953	17753
954	17738
955	17738
956	17473
957	17725
958	17725
959	17725
960	17726
961	17714
962	17714
963	17726
964	17715
965	17726
966	17738
967	17753
968	17738
969	17754
970	17754
971	17754
972	17225
973	17211
974	17201
975	17190
976	17201
977	17201
978	17201
979	17201
980	17190
981	17190
982	17198
983	17198
984	17198
985	17211
986	17229
987	17229
988	17492
989	17229
990	17229
991	17229
992	17214
993	17214
994	17226
995	17739
996	17474
997	17757
998	17757
999	18021
1000	18024
1001	17757
1002	17742
1003	17742
1004	17489
1005	17473
1006	17488
1007	17488
1008	17488
1009	17753
1010	17754
1011	17754
1012	17757
1013	17492
1014	17492
1015	17477
1016	17757
1017	17492
1018	17492
1019	17774
1020	17246
1021	17489
1022	17226
1023	17229
1024	17229
1025	17226
1026	17211
1027	17211
1028	17201
1029	17489
1030	17210
1031	17473
1032	17473
1033	17738
1034	17474
1035	17738
1036	17460
1037	17461
1038	17474
1039	17477
1040	17492
1041	17754
1042	17489
1043	17489
1044	17492
1045	17757
1046	17492
1047	17492
1048	17214
1049	17214
1050	17477
1051	17211
1052	17492
1053	17214
1054	17226
1055	17489
1056	17489
1057	17474
1058	17473
1059	17739
1060	17461
1061	17473
1062	17461
1063	17473
1064	17488
1065	17489
1066	17489
1067	17489
1068	17488
1069	17473
1070	17474
1071	17474
1072	17461
1073	17474
1074	17473
1075	17473
1076	17739
1077	17754
1078	17754
1079	17754
1080	17754
1081	18021
1082	18024
1083	18024
1084	17754
1085	17754
1086	17753
1087	17754
1088	17754
1089	17754
1090	17757
1091	17757
1092	17229
1093	17492
1094	17492
1095	17492
1096	17757
1097	17489
1098	17226
1099	17754
1100	17754
1101	17757
1102	17489
1103	17492
1104	17229
1105	17492
1106	17742
1107	17492
1108	17757
1109	17742
1110	18009
1111	17757
1112	17754
1113	17754
1114	17754
1115	17754
1116	17754
1117	17489
1118	17505
1119	17509
1120	17790
1121	17790
1122	17771
1123	17506
1124	17771
1125	17757
1126	17754
1127	17754
1128	17757
1129	17757
1130	17757
1131	17757
1132	17742
1133	17492
1134	17492
1135	17214
1136	17214
1137	17214
1138	17229
1139	17214
1140	17198
1141	17198
1142	17198
1143	17464
1144	17201
1145	17211
1146	17214
1147	17214
1148	17229
1149	17229
1150	17229
1151	17757
1152	17757
1153	17754
1154	17754
1155	17739
1156	17726
1157	17726
1158	17985
1159	17718
1160	18254
1161	17985
1162	17996
1163	18009
1164	17754
1165	17754
1166	17771
1167	17754
1168	17225
1169	17488
1170	17753
1171	17738
1172	17739
1173	17739
1174	17474
1175	17739
1176	17754
1177	17492
1178	17229
1179	17229
1180	17489
1181	17754
1182	17754
1183	17771
1184	17754
1185	17771
1186	17753
1187	17770
1188	17753
1189	17753
1190	17753
1191	17738
1192	17738
1193	17738
1194	17739
1195	17726
1196	17742
1197	17229
1198	17492
1199	17492
1200	17757
1201	17509
1202	17509
1203	17506
1204	17753
1205	17753
1206	17506
1207	17225
1208	17226
1209	17226
1210	17226
1211	17225
1212	17225
1213	17225
1214	17225
1215	17226
1216	17229
1217	17492
1218	17757
1219	17757
1220	17757
1221	17742
1222	17729
1223	17729
1224	17726
1225	17450
1226	17187
1227	17450
1228	17453
1229	17477
1230	17492
1231	17492
1232	17492
1233	17757
1234	17492
1235	17492
1236	17477
1237	17477
1238	17742
1239	17742
1240	17742
1241	17474
1242	17739
1243	17474
1244	17211
1245	17198
1246	17197
1247	17210
1248	17473
1249	17473
1250	17473
1251	17738
1252	17738
1253	17473
1254	17753
1255	17738
1256	17738
1257	17739
1258	17489
1259	17742
1260	17742
1261	17729
1262	17742
1263	17477
1264	17492
1265	17474
1266	17477
1267	17477
1268	17739
1269	17474
1270	17201
1271	17198
1272	17190
1273	17190
1274	17190
1275	17190
1276	17453
1277	17190
1278	17190
1279	17190
1280	17201
1281	17453
1282	17195
1283	17190
1284	17190
1285	17464
1286	17461
1287	17461
1288	17211
1289	17226
1290	17211
1291	16950
1292	17211
1293	17211
1294	17211
1295	17198
1296	17210
1297	17473
1298	17738
1299	17738
1300	17473
1301	17474
1302	17461
1303	17739
1304	17474
1305	17726
1306	17474
1307	17477
1308	17201
1309	17201
1310	17214
1311	17234
1312	17234
1313	16973
1314	17234
1315	17234
1316	17219
1317	17229
1318	17464
1319	17718
1320	17453
1321	17450
1322	17450
1323	17461
1324	17461
1325	17198
1326	17198
1327	17211
1328	17211
1329	17473
1330	17489
1331	17473
1332	17738
1333	17738
1334	17753
1335	17489
1336	17757
1337	17754
1338	17757
1339	17757
1340	17474
1341	17229
1342	17477
1343	17453
1344	17453
1345	17450
1346	17187
1347	17453
1348	17715
1349	17725
1350	17738
1351	17753
1352	17753
1353	17489
1354	17489
1355	17753
1356	17489
1357	17739
1358	17474
1359	17211
1360	17489
1361	17488
1362	17488
1363	17214
1364	17214
1365	17211
1366	17214
1367	17198
1368	17211
1369	17197
1370	17197
1371	17460
1372	17460
1373	17449
1374	17460
1375	17197
1376	17449
1377	17449
1378	17449
1379	17460
1380	17197
1381	17460
1382	17738
1383	17739
1384	17726
1385	18024
1386	18024
1387	18046
1388	18024
1389	17757
1390	17762
1391	17769
1392	17482
1393	17201
1394	17198
1395	17190
1396	16940
1397	17214
1398	17210
1399	17226
1400	17489
1401	17492
1402	17229
1403	17229
1404	17226
1405	17477
1406	17492
1407	17229
1408	17492
1409	17229
1410	17757
1411	17757
1412	17757
1413	17757
1414	17742
1415	17742
1416	17464
1417	17729
1418	17477
1419	17477
1420	17477
1421	17742
1422	17754
1423	17757
1424	17757
1425	17757
1426	18029
1427	17762
1428	17762
1429	17757
1430	17742
1431	17477
1432	17477
1433	17492
1434	17488
1435	17489
1436	17488
1437	17488
1438	17488
1439	17488
1440	17225
1441	17225
1442	17225
1443	17226
1444	17226
1445	17229
1446	17214
1447	17201
1448	17214
1449	17214
1450	17214
1451	17214
1452	17201
1453	17201
1454	17492
1455	17757
1456	17757
1457	17754
1458	17757
